Year,Unit multiplier,Series,Economic activity,Units,Value
2007,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,87.7
2008,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,59.8
2009,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,49.9
2010,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,47.7
2011,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,43.3
2012,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,43.7
2013,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,38.5
2014,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,36.9
2015,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,31.5
2016,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,27.9
2017,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,26.9
2018,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,26.3
2019,Units,_L_KG_070301_2A,,_L_KWH_MN_KGS,24.41
2007,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,20.5
2008,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,15.0
2009,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,15.6
2010,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,14.3
2011,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,14.3
2012,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,14.7
2013,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,14.9
2014,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,12.9
2015,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,16.1
2016,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,15.8
2017,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,16.3
2018,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,15.8
2019,Thousands,_L_KG_070301_2A,"Agriculture, forestry and fishing",_L_TH_KWH_MN_KGS,14.32
2007,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,71.8
2008,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,46.0
2009,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,40.1
2010,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,33.1
2011,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,30.0
2012,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,41.2
2013,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,35.0
2014,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,43.0
2015,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,31.8
2016,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,26.3
2017,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,25.0
2018,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,25.5
2019,Thousands,_L_KG_070301_2A,Industry (total),_L_TH_KWH_MN_KGS,23.61
2007,Millions,_L_KG_070301_2B,,_L_KWH,158.9
2008,Millions,_L_KG_070301_2B,,_L_KWH,146.9
2009,Millions,_L_KG_070301_2B,,_L_KWH,168.8
2010,Millions,_L_KG_070301_2B,,_L_KWH,180.5
2011,Millions,_L_KG_070301_2B,,_L_KWH,174.7
2012,Millions,_L_KG_070301_2B,,_L_KWH,155.2
2013,Millions,_L_KG_070301_2B,,_L_KWH,160.3
2014,Millions,_L_KG_070301_2B,,_L_KWH,130.9
2015,Millions,_L_KG_070301_2B,,_L_KWH,207.6
2016,Millions,_L_KG_070301_2B,,_L_KWH,248.3
2017,Millions,_L_KG_070301_2B,,_L_KWH,260.3
2018,Millions,_L_KG_070301_2B,,_L_KWH,202.9
2019,Millions,_L_KG_070301_2B,,_L_KWH,200.5
