Year,Units,Value
2007,Percent,114961.0
2008,Percent,120274.0
2009,Percent,124751.0
2010,Percent,133398.0
2011,Percent,142897.0
2012,Percent,150206.0
2013,Percent,162967.0
2014,Percent,168679.0
2015,Percent,174693.0
2016,Percent,178944.0
2017,Percent,183330.0
2018,Percent,187313.0
2007,Number,2.1907490000000003
2008,Number,2.2739529999999997
2009,Number,2.326232
2010,Number,2.46199
2011,Number,2.608742
2012,Number,2.705494
2013,Number,2.8211720000000002
2014,Number,2.861361
2015,Number,2.902128
2016,Number,2.914302
2017,Number,2.930125
2018,Number,2.931575
