Year,Series,Value
2007,"Численность населения, получающих пенсии и пособия по инвалидности, человек",114961.0
2008,"Численность населения, получающих пенсии и пособия по инвалидности, человек",120274.0
2009,"Численность населения, получающих пенсии и пособия по инвалидности, человек",124751.0
2010,"Численность населения, получающих пенсии и пособия по инвалидности, человек",133398.0
2011,"Численность населения, получающих пенсии и пособия по инвалидности, человек",142897.0
2012,"Численность населения, получающих пенсии и пособия по инвалидности, человек",150206.0
2013,"Численность населения, получающих пенсии и пособия по инвалидности, человек",162967.0
2014,"Численность населения, получающих пенсии и пособия по инвалидности, человек",168679.0
2015,"Численность населения, получающих пенсии и пособия по инвалидности, человек",174693.0
2016,"Численность населения, получающих пенсии и пособия по инвалидности, человек",178944.0
2017,"Численность населения, получающих пенсии и пособия по инвалидности, человек",183330.0
2018,"Численность населения, получающих пенсии и пособия по инвалидности, человек",187313.0
2019,"Численность населения, получающих пенсии и пособия по инвалидности, человек",194364.0
2007,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.190749
2008,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.273953
2009,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.326232
2010,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.46199
2011,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.608742
2012,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.705494
2013,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.821172
2014,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.861361
2015,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.902128
2016,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.914302
2017,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.930125
2018,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.931575
2019,"Доля лиц, получающих пенсии и пособия по инвалидности к общей численности населения",2.931575
