Year,Reference area,Sex,Age,Value
2007,,,,0.077639
2008,,,,0.103795
2009,,,,0.124661
2010,,,,0.1017
2011,,,,0.107723
2012,,,,0.125562
2013,,,,0.083925
2014,,,,0.104881
2015,,,,0.101567
2016,,,,0.117451
2017,,,,0.128435
2018,,,,0.1297
2019,,,,0.1
2020,,,,0.1
2007,,Female,,0.041956
2008,,Female,,0.067162
2009,,Female,,0.064553
2010,,Female,,0.060539
2011,,Female,,0.064473
2012,,Female,,0.105748
2013,,Female,,0.070194
2014,,Female,,0.090885
2015,,Female,,0.091088
2016,,Female,,0.097137
2017,,Female,,0.106527
2018,,Female,,0.097582
2019,,Female,,0.1
2020,,Female,,0.1
2007,,Male,,0.114296
2008,,Male,,0.14143
2009,,Male,,0.186359
2010,,Male,,0.143928
2011,,Male,,0.152077
2012,,Male,,0.145855
2013,,Male,,0.09797
2014,,Male,,0.119179
2015,,Male,,0.112257
2016,,Male,,0.138147
2017,,Male,,0.150731
2018,,Male,,0.162349
2019,,Male,,0.2
2020,,Male,,0.1
2007,Batken,,,0.018994
2008,Batken,,,0.037673
2009,Batken,,,0.016262
2010,Batken,,,0.01143
2011,Batken,,,0.024721
2012,Batken,,,0.039661
2013,Batken,,,0.038771
2014,Batken,,,0.071558
2015,Batken,,,0.051375
2016,Batken,,,0.034134
2017,Batken,,,0.051128
2018,Batken,,,0.040436
2019,Batken,,,0.0
2020,Batken,,,0.0
2007,Batken,Female,,0.014483
2008,Batken,Female,,0.033537
2009,Batken,Female,,0.004729
2010,Batken,Female,,0.013943
2011,Batken,Female,,0.022821
2012,Batken,Female,,0.040276
2013,Batken,Female,,0.043779
2014,Batken,Female,,0.077046
2015,Batken,Female,,0.062727
2016,Batken,Female,,0.032703
2017,Batken,Female,,0.044051
2018,Batken,Female,,0.035312
2019,Batken,Female,,0.0
2020,Batken,Female,,0.0
2007,Batken,Male,,0.023358
2008,Batken,Male,,0.041669
2009,Batken,Male,,0.027402
2010,Batken,Male,,0.008997
2011,Batken,Male,,0.026565
2012,Batken,Male,,0.039063
2013,Batken,Male,,0.033922
2014,Batken,Male,,0.066249
2015,Batken,Male,,0.040406
2016,Batken,Male,,0.035516
2017,Batken,Male,,0.057957
2018,Batken,Male,,0.045374
2019,Batken,Male,,0.0
2020,Batken,Male,,0.0
2007,Jalal-Abad,,,0.044535
2008,Jalal-Abad,,,0.070042
2009,Jalal-Abad,,,0.060105
2010,Jalal-Abad,,,0.059233
2011,Jalal-Abad,,,0.048786
2012,Jalal-Abad,,,0.091049
2013,Jalal-Abad,,,0.04688
2014,Jalal-Abad,,,0.072026
2015,Jalal-Abad,,,0.082866
2016,Jalal-Abad,,,0.063928
2017,Jalal-Abad,,,0.102583
2018,Jalal-Abad,,,0.061542
2019,Jalal-Abad,,,0.1
2020,Jalal-Abad,,,0.0
2007,Jalal-Abad,Female,,0.038468
2008,Jalal-Abad,Female,,0.05606
2009,Jalal-Abad,Female,,0.047336
2010,Jalal-Abad,Female,,0.058324
2011,Jalal-Abad,Female,,0.036397
2012,Jalal-Abad,Female,,0.095921
2013,Jalal-Abad,Female,,0.051601
2014,Jalal-Abad,Female,,0.065024
2015,Jalal-Abad,Female,,0.081428
2016,Jalal-Abad,Female,,0.043401
2017,Jalal-Abad,Female,,0.107411
2018,Jalal-Abad,Female,,0.061918
2019,Jalal-Abad,Female,,0.1
2020,Jalal-Abad,Female,,0.0
2007,Jalal-Abad,Male,,0.0506
2008,Jalal-Abad,Male,,0.084012
2009,Jalal-Abad,Male,,0.072852
2010,Jalal-Abad,Male,,0.06014
2011,Jalal-Abad,Male,,0.061143
2012,Jalal-Abad,Male,,0.086195
2013,Jalal-Abad,Male,,0.042181
2014,Jalal-Abad,Male,,0.078984
2015,Jalal-Abad,Male,,0.084292
2016,Jalal-Abad,Male,,0.084261
2017,Jalal-Abad,Male,,0.097808
2018,Jalal-Abad,Male,,0.06117
2019,Jalal-Abad,Male,,0.0
2020,Jalal-Abad,Male,,0.0
2007,Issyk-Kul,,,0.004608
2008,Issyk-Kul,,,0.027501
2009,Issyk-Kul,,,0.027305
2010,Issyk-Kul,,,0.018062
2011,Issyk-Kul,,,0.053783
2012,Issyk-Kul,,,0.031064
2013,Issyk-Kul,,,0.028512
2014,Issyk-Kul,,,0.062882
2015,Issyk-Kul,,,0.066387
2016,Issyk-Kul,,,0.082386
2017,Issyk-Kul,,,0.087531
2018,Issyk-Kul,,,0.057572
2019,Issyk-Kul,,,0.1
2020,Issyk-Kul,,,0.0
2007,Issyk-Kul,Female,,0.0
2008,Issyk-Kul,Female,,0.02262
2009,Issyk-Kul,Female,,0.013497
2010,Issyk-Kul,Female,,0.0
2011,Issyk-Kul,Female,,0.035537
2012,Issyk-Kul,Female,,0.026411
2013,Issyk-Kul,Female,,0.026123
2014,Issyk-Kul,Female,,0.064607
2015,Issyk-Kul,Female,,0.046817
2016,Issyk-Kul,Female,,0.07142
2017,Issyk-Kul,Female,,0.058072
2018,Issyk-Kul,Female,,0.020472
2019,Issyk-Kul,Female,,0.1
2020,Issyk-Kul,Female,,0.1
2007,Issyk-Kul,Male,,0.009349
2008,Issyk-Kul,Male,,0.032512
2009,Issyk-Kul,Male,,0.041436
2010,Issyk-Kul,Male,,0.036491
2011,Issyk-Kul,Male,,0.072359
2012,Issyk-Kul,Male,,0.035794
2013,Issyk-Kul,Male,,0.030939
2014,Issyk-Kul,Male,,0.061134
2015,Issyk-Kul,Male,,0.086207
2016,Issyk-Kul,Male,,0.093477
2017,Issyk-Kul,Male,,0.117277
2018,Issyk-Kul,Male,,0.094996
2019,Issyk-Kul,Male,,0.1
2020,Issyk-Kul,Male,,0.0
2007,Naryn,,,0.0
2008,Naryn,,,0.003889
2009,Naryn,,,0.007743
2010,Naryn,,,0.02301
2011,Naryn,,,0.094871
2012,Naryn,,,0.045026
2013,Naryn,,,0.040785
2014,Naryn,,,0.087939
2015,Naryn,,,0.072443
2016,Naryn,,,0.089502
2017,Naryn,,,0.123926
2018,Naryn,,,0.021019
2019,Naryn,,,0.1
2020,Naryn,,,0.0
2007,Naryn,Female,,0.0
2008,Naryn,Female,,0.0
2009,Naryn,Female,,0.007654
2010,Naryn,Female,,0.03787
2011,Naryn,Female,,0.149779
2012,Naryn,Female,,0.059173
2013,Naryn,Female,,0.043827
