Year,concept.OCCUPATION,Value
2007,CL_OCCUPATION.ISCO08_221,2.2
2008,CL_OCCUPATION.ISCO08_221,2.2
2009,CL_OCCUPATION.ISCO08_221,2.2
2010,CL_OCCUPATION.ISCO08_221,2.2
2011,CL_OCCUPATION.ISCO08_221,2.2
2012,CL_OCCUPATION.ISCO08_221,2.2
2013,CL_OCCUPATION.ISCO08_221,2.2
2014,CL_OCCUPATION.ISCO08_221,2.1
2015,CL_OCCUPATION.ISCO08_221,2.1
2016,CL_OCCUPATION.ISCO08_221,2.1
2017,CL_OCCUPATION.ISCO08_221,2.0
2018,CL_OCCUPATION.ISCO08_221,2.0
2019,CL_OCCUPATION.ISCO08_221,2.0
2007,CL_OCCUPATION.ISCO08_2261,0.3
2008,CL_OCCUPATION.ISCO08_2261,0.3
2009,CL_OCCUPATION.ISCO08_2261,0.3
2010,CL_OCCUPATION.ISCO08_2261,0.3
2011,CL_OCCUPATION.ISCO08_2261,0.3
2012,CL_OCCUPATION.ISCO08_2261,0.3
2013,CL_OCCUPATION.ISCO08_2261,0.3
2014,CL_OCCUPATION.ISCO08_2261,0.3
2015,CL_OCCUPATION.ISCO08_2261,0.3
2016,CL_OCCUPATION.ISCO08_2261,0.3
2017,CL_OCCUPATION.ISCO08_2261,0.3
2018,CL_OCCUPATION.ISCO08_2261,0.3
2019,CL_OCCUPATION.ISCO08_2261,0.3
2007,CL_OCCUPATION.ISCO08_2262,0.0
2008,CL_OCCUPATION.ISCO08_2262,0.0
2009,CL_OCCUPATION.ISCO08_2262,0.0
2010,CL_OCCUPATION.ISCO08_2262,0.0
2011,CL_OCCUPATION.ISCO08_2262,0.0
2012,CL_OCCUPATION.ISCO08_2262,0.1
2013,CL_OCCUPATION.ISCO08_2262,0.1
2014,CL_OCCUPATION.ISCO08_2262,0.1
2015,CL_OCCUPATION.ISCO08_2262,0.1
2016,CL_OCCUPATION.ISCO08_2262,0.1
2017,CL_OCCUPATION.ISCO08_2262,0.1
2018,CL_OCCUPATION.ISCO08_2262,0.1
2019,CL_OCCUPATION.ISCO08_2262,0.1
2007,CL_OCCUPATION.ISCO88_223,4.4
2008,CL_OCCUPATION.ISCO88_223,4.3
2009,CL_OCCUPATION.ISCO88_223,4.3
2010,CL_OCCUPATION.ISCO88_223,4.4
2011,CL_OCCUPATION.ISCO88_223,4.5
2012,CL_OCCUPATION.ISCO88_223,4.6
2013,CL_OCCUPATION.ISCO88_223,4.6
2014,CL_OCCUPATION.ISCO88_223,4.6
2015,CL_OCCUPATION.ISCO88_223,4.6
2016,CL_OCCUPATION.ISCO88_223,4.6
2017,CL_OCCUPATION.ISCO88_223,4.3
2018,CL_OCCUPATION.ISCO88_223,4.5
2019,CL_OCCUPATION.ISCO88_223,4.3
